,accX,accY,accZ,gyroX,gyroY,gyroZ,accPCA,gyroPCA,side,gesture
8753,3834,1806,993,11,732,14,8457,2309,1,0
5100,3285,2157,1725,214,15,12,6023,688,1,1
8,920,302,1604,9,6,989,201,301,1,1
1180,1242,2045,1705,808,1381,1226,2352,4128,1,0
567,1028,479,1922,202,210,23,696,2783,1,0
2754,2601,3874,593,1,208,30,9039,5496,1,0
1825,1945,2782,2439,1028,773,1307,6396,3908,1,0
8522,2524,2001,1167,13,734,16,8700,2437,1,1
1078,1635,2152,1278,1101,124,745,5075,9189,1,1
8148,3124,4156,290,713,282,1128,9959,4533,1,1
9789,1311,1336,1287,570,635,1022,2262,4016,1,0
8863,772,575,1935,97,594,654,886,2625,1,0
6577,1000,1899,1261,1143,84,625,889,8778,1,0
7920,3265,127,1796,355,733,1303,6042,6961,1,1
6536,8,2475,1648,217,15,11,5125,406,1,1
1261,2727,655,2470,11,107,822,9124,9588,1,1
5333,1173,104,1922,565,1386,1009,1746,7073,1,1
2588,1940,1799,989,203,725,1288,5798,5212,1,0
3653,798,3165,1235,743,355,8,121,5205,1,0
2943,1251,2242,1534,207,747,1636,2553,8409,1,0
36,1055,69,1601,206,720,4,1100,83,1,0
4288,3489,883,2179,875,823,1542,7273,850,1,1
5479,393,463,1692,5,939,654,3176,8420,1,1
7615,491,604,1461,665,211,1766,2524,9730,1,1
7344,587,1948,1576,206,721,1001,1665,3070,1,1
2908,902,2414,1783,782,27,10,304,3525,1,0
577,1247,81,1863,206,8,1293,2250,5563,1,1
4157,4098,804,2481,1127,1065,277,9099,7339,1,1
4336,3346,2039,1733,776,16,1288,6336,2141,1,1
1208,926,303,1692,29,5,414,213,5855,1,1
4058,3905,2854,1370,793,738,987,8253,1849,1,1
210,1898,976,1407,446,2,1740,6050,9194,1,0
794,1499,45,1689,361,214,415,3971,5379,1,1
9812,896,770,956,549,397,1090,70,4249,1,0
4060,3853,2722,1667,682,521,658,8137,7123,1,1
637,1401,0,1612,202,12,6,3448,496,1,1
47,911,116,877,354,1299,1933,397,9763,1,1
4123,3337,3018,1646,775,18,1001,6021,534,1,0
4905,213,2698,1546,12,730,996,3777,1522,1,0
6535,3223,2411,1798,11,938,1299,5659,5543,1,1
3994,96,3835,1107,1222,936,418,3757,8016,1,0
1330,3168,355,1613,359,445,998,5570,2965,1,1
1318,3252,687,2335,819,1344,1869,6321,7265,1,1
5505,432,559,1831,25,746,10,3009,1026,1,1
9807,2054,1742,879,390,166,1525,6549,8215,1,0
8266,1275,3852,1020,16,2,12,3688,1987,1,0
8273,1137,3841,1100,11,8,5,2784,1459,1,0
4593,941,3262,1567,19,752,0,935,8,1,0
9268,1775,4047,816,10,7,19,6649,3034,1,0
2835,751,2213,1439,775,439,1011,534,1414,1,0
4618,2126,4115,630,1108,461,535,8055,8067,1,0
4291,3490,606,1785,211,212,21,7147,2192,1,1
2742,2582,3913,590,25,720,2,9005,241,1,0
6557,97,2630,1521,488,26,1427,4476,7820,1,1
1569,1823,2830,1201,1062,589,582,6264,8601,1,0
5653,575,190,1659,28,749,1531,1853,7726,1,1
586,1426,2399,1579,22,216,30,3747,3829,1,0
4038,3758,2682,1760,360,451,733,7812,8481,1,1
4630,835,2950,1295,11,1297,1297,243,5703,1,0
2554,2088,2078,1178,808,1239,668,7312,8625,1,1
2328,375,1918,668,783,205,1498,2786,7403,1,1
9808,2192,1279,1416,376,370,1774,7408,9406,1,0
2638,3132,307,169,769,89,648,9962,8924,1,1
3661,507,2864,1576,214,735,13,1832,518,1,0
3379,507,80,1623,11,1154,993,2260,1631,1,1
23,974,207,1638,25,11,9,528,1248,1,1
9883,2409,41,1377,208,631,20,8390,2801,1,1
2769,3130,4081,58,1437,686,957,9965,4246,1,1
3044,495,2448,1350,745,215,997,2000,7112,1,0
381,2367,3620,1134,924,139,747,8515,9126,1,0
8731,3817,1729,1244,788,20,545,8400,8381,1,0
789,1033,399,1869,817,354,28,775,8960,1,0
8256,1949,3886,877,53,989,1035,7261,10012,1,0
8163,179,2594,973,60,26,1024,3864,4468,1,1
2948,1124,1973,1962,1321,1066,1004,1470,2518,1,0
4030,3804,2659,1656,766,740,19,7974,3432,1,1
5676,402,371,1798,24,720,983,3119,372,1,1
7040,1001,3172,1648,30,26,267,1225,5669,1,0
5033,2303,1045,2237,180,290,278,7760,4578,1,1
2691,4444,3417,312,20,28,994,9908,1332,1,1
4907,270,2558,1760,3,16,18,3554,3279,1,0
6032,2830,1253,539,1309,973,406,9402,6542,1,1
1543,1776,620,1536,24,732,0,5505,90,1,1
1523,1631,1017,1803,1414,1156,424,4402,8899,1,0
9078,4497,178,34,206,720,998,9995,2770,1,1
5902,2723,2535,46,259,143,1002,9311,9577,1,1
1026,1313,318,981,1097,481,641,2930,9083,1,1
2823,955,2401,1572,960,7,17,666,5538,1,0
1112,2657,2807,296,152,384,1465,9131,7444,1,1
2848,3086,395,235,963,735,263,9861,7173,1,1
2602,1673,809,1452,482,353,736,4855,8416,1,0
9241,1810,4006,895,20,747,989,6775,1179,1,0
5340,722,2279,1595,484,795,999,721,6090,1,0
782,2059,1954,1243,1253,762,980,7158,4076,1,1
7888,234,2061,1808,208,21,11,3940,914,1,1
1145,1985,2894,1122,489,1,999,7021,5327,1,0
9836,1339,476,1647,771,741,23,2840,3900,1,1
4003,3548,3319,1550,775,6,264,6882,6889,1,0
