temp,pressure,proximity,r,g,b,a,accX,accY,accZ,gyroX,gyroY,gyroZ,up,down,right,left,side
29.510,100.364,252,76,68,91,228,-0.1958,0.6067,0.7482,0.9766,0.0000,0.8545,0,0,0,1,0
29.520,100.429,252,74,68,89,224,-0.1913,0.6022,0.7476,-4.2725,-1.1597,-0.1221,0,0,0,1,0
29.510,100.430,252,75,67,90,224,-0.1915,0.5984,0.7426,1.8311,1.8921,0.7324,0,0,0,1,0
29.520,100.422,252,73,66,88,221,-0.1920,0.5981,0.7493,-1.2207,-2.9907,-1.0986,0,0,0,1,0
29.510,100.427,251,74,67,89,222,-0.1897,0.5951,0.7656,-1.8921,-2.5024,-0.8545,0,0,0,1,0
29.510,100.428,251,74,66,89,221,-0.1989,0.5999,0.7484,-1.2207,1.4648,1.8921,0,0,0,1,0
29.520,100.363,252,72,65,87,217,-0.1895,0.5974,0.7467,0.3662,-2.0142,1.7090,0,0,0,1,0
29.500,100.416,252,73,67,88,219,-0.1824,0.5811,0.7511,-1.8921,-1.9531,-1.5259,0,0,0,1,0
29.510,100.427,251,73,67,89,221,-0.1930,0.5936,0.7451,0.6104,3.9062,-0.2441,0,0,0,1,0
29.530,100.429,251,73,65,88,219,-0.1952,0.6045,0.7520,-1.8921,-0.1831,0.1221,0,0,0,1,0
29.530,100.425,252,73,65,88,219,-0.1921,0.5919,0.7646,-2.5024,-3.6621,-0.4272,0,0,0,1,0
29.510,100.426,250,73,66,88,220,-0.1945,0.5981,0.7389,-0.3052,2.3804,2.9297,0,0,0,1,0
29.510,100.428,252,72,65,87,218,-0.1877,0.5948,0.7559,-3.1738,-4.7607,-2.7466,0,0,0,1,0
29.510,100.372,252,74,68,89,222,-0.2015,0.6024,0.7542,2.6245,1.7090,3.6011,0,0,0,1,0
29.510,100.425,251,72,65,87,217,-0.1891,0.5898,0.7463,-0.5493,-4.8218,-0.7935,0,0,0,1,0
29.510,100.430,251,74,68,90,224,-0.2041,0.5908,0.7563,-3.6011,-1.8311,1.2817,0,0,0,1,0
29.500,100.430,252,73,66,89,221,-0.1989,0.6000,0.7480,-2.6855,-3.4180,0.2441,0,0,0,1,0
29.510,100.426,253,73,66,89,220,-0.1943,0.5774,0.7393,6.9580,-5.4321,-2.1973,0,0,0,1,0
29.510,100.428,251,77,71,94,232,-0.2129,0.5775,0.7808,-5.1270,-1.8921,-2.5635,0,0,0,1,0
29.520,100.371,250,76,70,93,229,-0.2096,0.5953,0.7513,-1.9531,-1.5869,4.1504,0,0,0,1,0
29.520,100.427,251,77,70,93,230,-0.2201,0.5977,0.7484,0.1831,0.6714,0.1831,0,0,0,1,0
29.510,100.424,251,67,61,82,199,-0.1838,0.5552,0.7855,61.0352,36.7432,-32.0435,0,0,0,1,0
29.520,100.426,250,52,40,53,124,-0.0757,0.4564,0.7802,82.8247,-0.1831,-10.0708,0,0,0,1,0
29.520,100.427,253,45,30,34,92,-0.1442,0.4476,0.9618,77.5146,4.6387,-18.4326,0,0,0,1,0
29.510,100.424,250,40,26,27,80,-0.0590,0.1262,0.9083,57.9834,40.7715,-123.9014,1,0,0,0,0
29.500,100.428,251,38,24,25,74,0.0532,-0.1656,0.8883,33.9966,-39.4897,-162.8418,0,0,1,0,0
29.510,100.368,252,37,24,24,72,-0.2004,-0.1183,1.1062,9.3994,-58.4717,-103.5767,0,0,1,0,0
29.520,100.422,249,36,23,23,70,-0.1208,-0.2048,1.0232,99.1821,23.4985,73.1201,0,0,1,0,0
29.500,100.430,252,35,22,22,70,-0.0262,-0.1685,0.9479,-0.4272,16.9067,13.5498,0,0,1,0,0
29.500,100.435,252,35,22,22,70,-0.0508,-0.2281,0.9974,3.1738,6.1646,6.2256,0,0,1,0,0
29.500,100.432,251,35,22,22,69,0.0372,-0.3247,0.9863,10.3760,16.9678,15.0757,0,0,1,0,0
29.490,100.431,251,35,22,22,69,0.0868,-0.2186,0.8837,22.8882,10.1318,31.9824,0,0,1,0,0
29.500,100.401,251,35,22,22,70,0.0739,-0.2841,0.9572,-20.8130,-18.9209,-16.5405,0,0,1,0,0
29.500,100.396,249,35,22,22,69,0.0369,-0.2946,0.9778,13.7329,0.9155,14.5874,0,0,1,0,0
29.490,100.424,251,35,22,22,70,0.0875,-0.2775,0.9150,-2.6855,10.8643,2.5635,0,0,1,0,0
29.490,100.430,250,36,22,22,69,0.0833,-0.3093,0.9303,-7.8735,-3.3569,-3.8452,0,0,1,0,0
29.510,100.433,249,35,22,22,69,0.0895,-0.3068,0.9429,2.5024,3.6011,4.2725,0,0,1,0,0
29.500,100.430,250,35,22,22,70,0.0980,-0.2850,0.9430,-14.8926,4.0894,-3.6011,0,0,1,0,0
29.500,100.431,251,35,22,22,69,0.1080,-0.3156,0.9191,7.8735,8.7280,4.8218,0,0,1,0,0
29.510,100.303,251,35,22,22,69,0.1118,-0.2847,0.9414,1.4648,3.9673,3.5400,0,0,1,0,0
29.520,100.424,250,35,22,22,69,0.1667,-0.3605,0.9371,49.3774,37.4146,34.7900,0,0,1,0,0
29.520,100.432,250,35,21,22,70,0.2631,-0.3464,0.7961,8.9722,-2.7466,9.2773,0,0,1,0,0
29.530,100.432,252,36,22,22,71,0.1930,-0.4147,0.9319,-16.5405,-10.8032,-17.4561,0,0,1,0,0
29.510,100.427,252,36,22,22,70,0.2201,-0.3995,0.8772,1.8311,8.1787,3.5400,0,0,1,0,0
