accX,accY,accZ,gyroX,gyroY,gyroZ,up,down,right,left
-0.2832,0.0598,0.8662,-44.3115,-4.2114,94.9097,1,0,0,0
-0.3103,0.1185,0.9773,-41.6870,5.1270,88.9282,1,0,0,0
-0.4021,0.3300,0.8480,-62.6831,-15.2588,41.8701,0,0,0,1
-0.2563,0.4543,0.8367,-29.7241,-27.1606,11.7187,0,0,0,1
-0.3138,0.4666,0.8599,-20.8740,-22.4609,24.5361,0,0,0,1
-0.3643,0.3364,0.8772,6.1035,1.4648,-14.9536,0,0,0,1
-0.3093,0.2588,0.9451,7.7515,1.7090,-20.9961,0,0,0,1
-0.1979,0.2327,0.9596,12.0850,8.4229,-24.6582,0,0,0,1
-0.2009,0.1702,0.9659,13.5498,5.7983,-18.4326,0,0,0,1
-0.2344,0.2125,0.9314,0.6104,0.1831,-18.7988,0,0,0,1
-0.2004,0.2135,0.9357,4.6997,11.9629,-11.7798,0,0,0,1
-0.2070,0.1819,0.9788,2.6245,4.4556,-35.9497,0,0,0,1
-0.1998,0.2556,0.8337,-0.4883,-5.4321,-42.8467,0,0,0,1
-0.1302,0.1385,0.9360,21.6064,2.3804,-45.4712,0,0,0,1
-0.2131,0.1595,0.9115,0.3662,-13.0005,-47.1191,0,0,0,1
-0.0365,0.1162,0.9713,0.3662,-16.2354,-45.2881,0,0,0,1
-0.0984,0.1222,0.8785,17.5781,-8.3008,-44.3726,0,0,0,1
-0.1017,0.1073,0.8953,-10.9863,-50.6592,-31.1890,0,0,0,1
-0.2253,0.0454,0.9672,7.1411,-4.4556,0.5493,1,0,0,0
-0.2921,-0.1090,1.1395,25.9399,25.1465,14.1602,1,0,0,0
-0.0588,0.0001,1.1024,-2.0142,9.2163,1.4648,0,1,0,0
-0.1566,0.1543,0.8467,-11.1694,4.7607,13.7939,0,0,0,1
-0.1726,0.1831,0.9229,-1.1597,-6.7139,-2.3193,0,0,0,1
-0.2454,0.1426,0.9680,-2.3193,-1.4038,-1.2817,0,0,0,1
-0.1562,0.0854,0.9873,0.5493,1.4648,-2.2583,0,0,0,1
-0.1501,0.1089,0.9683,-3.3569,-1.4648,0.0610,0,0,0,1
-0.1945,0.1455,0.9396,0.2441,0.9766,5.8594,0,0,0,1
-0.1859,0.1342,0.9393,-0.6714,0.3052,1.2207,0,0,0,1
-0.1918,0.1008,0.9547,2.6855,3.9062,0.8545,0,0,0,1
-0.1367,0.0822,0.9746,-2.1362,0.4883,0.9766,0,0,0,1
-0.1797,0.1107,0.9569,-3.7231,-2.6855,0.7935,0,0,0,1
-0.2012,0.1045,0.9684,-3.9062,0.2441,0.6104,0,0,0,1
-0.0977,0.1504,0.8964,-1.8311,1.0376,-4.0894,0,0,0,1
-0.1770,0.1365,0.9333,-7.5073,-12.0239,1.1597,0,0,0,1
-0.2196,0.1217,1.0316,2.0752,-3.9062,-0.2441,0,0,0,1
-0.1885,0.2222,1.0292,4.5776,6.5308,-5.3101,0,0,0,1
-0.0957,0.2874,0.9818,10.2539,8.4839,-24.9023,0,0,0,1
-0.1312,0.2229,1.0365,41.2598,28.3813,-36.4380,0,0,0,1
-0.1094,0.1968,0.9365,22.7661,13.9160,-38.0859,0,0,0,1
-0.0021,0.0176,0.8458,27.9541,2.8687,-47.4854,0,1,0,0
-0.2526,-0.1085,0.9357,32.6538,-8.8501,-38.7573,1,0,0,0
