,accX,accY,accZ,gyroX,gyroY,gyroZ,accPCA,gyroPCA,side,gesture
131,1144,2579,2196,948,448,591,1754,8256,0,0
6954,204,2172,1672,1107,597,17,4054,6791,0,1
8597,4173,2624,1192,8,518,1011,9085,2297,0,1
5940,985,511,1683,17,728,19,481,2639,0,0
2423,2324,3305,1150,765,3,28,8324,5337,0,0
9015,3836,2463,1551,770,731,1000,8106,939,0,1
8651,3282,3216,1524,15,726,22,5644,3031,0,0
6760,1657,1004,1207,26,643,14,4713,2776,0,0
2407,2270,3334,1103,362,28,998,8203,3398,0,0
1672,1868,66,1532,25,25,985,6147,439,0,1
1626,4036,3083,657,168,1102,1223,8680,6341,0,1
971,1207,782,1052,1,1109,107,1953,9893,0,0
7438,224,257,1865,971,438,270,4167,7914,0,1
3126,825,2056,1704,364,27,989,226,2581,0,0
7740,657,2023,1937,956,337,1079,1294,9346,0,1
6249,1292,1921,1610,763,348,415,2734,7102,0,1
265,2041,2933,1164,963,800,1023,7290,9826,0,0
6410,1798,2335,1484,31,5,1,5957,166,0,1
3328,3020,2492,166,762,344,645,9796,8426,0,1
5802,908,3322,1702,753,519,1725,688,9635,0,0
4807,452,3546,381,478,61,654,1430,8030,0,0
316,520,1560,1200,15,532,422,2877,7221,0,0
6932,348,268,1709,1421,1150,734,3392,9822,0,1
6427,3346,1034,1861,1123,705,1154,6697,294,0,1
4475,1769,2827,1425,774,213,10,5958,3301,0,0
3319,3010,2276,252,18,720,414,9762,6059,0,1
103,901,778,1575,490,349,27,76,1284,0,0
3528,224,600,1641,23,2,1292,4223,5164,0,1
5710,564,115,1660,3,4,18,1904,3187,0,1
1606,1736,2282,1575,16,8,7,5584,1457,0,1
8604,4109,2598,1430,24,1069,429,8932,6943,0,1
5422,1609,2068,1530,8,737,989,4784,465,0,1
3742,260,3149,1666,31,351,5,3391,843,0,0
9606,1631,269,1607,202,19,29,4765,3234,0,1
4957,1400,4095,701,154,720,1446,4831,7463,0,0
2273,4415,3723,540,963,444,1536,9770,5649,0,1
6940,3577,2762,1686,357,1165,984,7164,2587,0,1
1618,1534,2519,1666,11,751,0,4425,422,0,0
4421,1202,1443,2081,257,347,1431,1220,4130,0,0
5250,261,2348,1604,792,206,420,3650,7849,0,1
6691,640,3363,1421,4,16,15,770,2951,0,0
6866,2828,3620,546,1453,213,356,9498,6528,0,1
3879,3495,2825,1854,4,745,984,6840,327,0,1
6695,923,3395,1427,355,15,25,915,2018,0,0
7774,473,1975,1530,361,30,1288,2391,5651,0,1
7161,1192,314,2087,877,1071,880,1725,4434,0,1
9570,2144,2101,1477,778,743,14,7508,3401,0,1
6351,1337,2869,1463,572,520,20,3412,163,0,0
1758,1659,228,1344,121,720,1802,5027,4258,0,1
6309,1246,3,1664,1229,795,14,2337,5332,0,1
5438,1541,1977,1505,355,1058,994,4332,3294,0,1
7974,947,2370,748,907,1378,930,883,9787,0,0
3931,3655,2926,1512,15,17,29,7414,3820,0,1
7514,2032,2347,1399,355,0,997,7092,3216,0,1
9422,539,164,1760,1323,215,1540,2111,3240,0,1
8640,3330,3269,1447,24,214,1008,5873,2973,0,0
5809,1717,3885,1103,1226,731,542,6241,8584,0,0
7416,148,796,1503,927,629,171,4707,6257,0,1
6874,717,614,1152,790,587,711,997,8710,0,0
7379,539,1911,1622,4,31,25,2004,5035,0,1
1691,1926,1591,2270,357,924,158,5637,4172,0,0
3529,40,697,1733,2,18,258,5358,5786,0,1
4684,355,2022,1741,27,928,1725,3224,8578,0,1
8666,3283,3279,1581,11,18,10,5642,2134,0,0
1883,364,956,2325,931,0,346,3795,7341,0,0
9030,3770,2773,1589,214,31,3,7816,342,0,1
5816,1828,3744,619,1177,308,960,6773,4036,0,0
5828,1801,2259,1385,962,3,424,5971,7976,0,1
4852,551,2975,1491,774,5,1,1484,2098,0,0
3290,4255,3527,1255,792,752,256,9276,6695,0,1
5202,4288,2098,155,828,750,606,9364,8228,0,1
2270,4412,3792,414,785,445,995,9758,1271,0,1
1783,2554,2432,323,733,237,1707,8838,9727,0,1
7707,3535,480,1351,971,17,1734,7213,7855,0,1
9425,1279,144,2458,359,480,1733,1955,7312,0,1
4952,3473,1974,1718,148,1060,1931,6907,9936,0,1
6234,1153,56,1523,209,724,268,1757,5344,0,0
